Date,Close
2020-03-09,89.79911804199219
2020-03-10,91.36021423339844
2020-03-11,91.34205627441406
2020-03-12,82.50192260742188
2020-03-13,84.10838317871094
2020-03-16,81.46723937988281
2020-03-17,83.82701873779297
2020-03-18,80.84098815917969
2020-03-19,79.53401947021484
2020-03-20,82.82865905761719
2020-03-23,83.62735748291016
2020-03-24,90.14401245117188
2020-03-25,89.85356903076172
2020-03-26,94.3553237915039
2020-03-27,90.6431884765625
2020-03-30,92.73977661132812
2020-03-31,93.30249786376953
2020-04-01,89.0367202758789
2020-04-02,88.24710845947266
2020-04-03,88.35601043701172
2020-04-06,92.0318374633789
2020-04-07,94.1011962890625
2020-04-08,95.29924774169922
2020-04-09,99.83731079101562
2020-04-14,101.65252685546875
2020-04-15,98.29437255859375
2020-04-16,99.92805480957031
2020-04-17,102.61459350585938
2020-04-20,103.23177337646484
2020-04-21,96.46099853515625
2020-04-22,98.2398910522461
2020-04-23,98.13098907470703
2020-04-24,96.82403564453125
2020-04-27,97.8405532836914
2020-04-28,98.78446960449219
2020-04-29,99.65577697753906
2020-04-30,98.87523651123047
2020-05-04,97.00554656982422
2020-05-05,98.42142486572266
2020-05-06,95.571533203125
2020-05-07,97.42304992675781
2020-05-08,97.78609466552734
2020-05-11,96.78772735595703
2020-05-12,96.98739624023438
2020-05-13,96.20684814453125
2020-05-14,94.30087280273438
2020-05-15,94.15564727783203
2020-05-18,97.44120788574219
2020-05-19,98.09468841552734
2020-05-20,100.0188217163086
2020-05-21,98.32451629638672
2020-05-22,99.42740631103516
2020-05-25,104.30624389648438
2020-05-26,103.72677612304688
2020-05-27,104.53055572509766
2020-05-28,105.24088287353516
2020-05-29,106.08206939697266
2020-06-02,108.36259460449219
2020-06-03,111.25999450683594
2020-06-04,111.78339385986328
2020-06-05,113.22274780273438
2020-06-08,112.36287689208984
2020-06-09,112.79280853271484
2020-06-10,112.58718872070312
2020-06-11,108.77384185791016
2020-06-12,107.7644271850586
2020-06-15,106.88587188720703
2020-06-16,111.05436706542969
2020-06-17,112.3815689086914
2020-06-18,112.53111267089844
2020-06-19,115.4098129272461
2020-06-22,115.91452026367188
2020-06-23,117.29779815673828
2020-06-24,112.25071716308594
2020-06-25,112.90496826171875
2020-06-26,114.13870239257812
2020-06-29,114.43778991699219
2020-06-30,116.19490814208984
2020-07-01,115.76498413085938
2020-07-02,119.3166275024414
2020-07-03,119.24185943603516
2020-07-06,122.17664337158203
2020-07-07,120.36341857910156
2020-07-08,120.36341857910156
2020-07-09,125.8778076171875
2020-07-10,126.21427917480469
2020-07-13,128.5322265625
2020-07-14,125.1861801147461
2020-07-15,128.3639678955078
2020-07-16,126.60686492919922
2020-07-17,127.01808166503906
2020-07-20,130.13980102539062
2020-07-21,132.5885772705078
2020-07-22,132.94375610351562
2020-07-23,132.0277862548828
2020-07-24,126.77507019042969
2020-07-27,130.1958770751953
2020-07-28,128.7565155029297
2020-07-29,130.4388885498047
2020-07-30,124.79364776611328
2020-07-31,125.03665161132812
2020-08-03,128.55088806152344
2020-08-04,126.47599029541016
2020-08-05,127.1115493774414
2020-08-06,126.40123748779297
2020-08-07,128.2518310546875
2020-08-10,126.12084197998047
2020-08-11,128.13966369628906
2020-08-12,129.0556182861328
2020-08-13,128.15834045410156
2020-08-14,126.40123748779297
2020-08-17,126.79378509521484
2020-08-18,126.47599029541016
2020-08-19,127.89666748046875
2020-08-20,127.61625671386719
2020-08-21,126.92462921142578
2020-08-24,129.5416259765625
2020-08-25,130.15847778320312
2020-08-26,132.96241760253906
2020-08-27,131.18661499023438
2020-08-28,130.6258087158203
2020-08-31,129.0182342529297
2020-09-01,129.57901000976562
