Date,price
2020-03-09,254.06561279296875
2020-03-10,260.1607971191406
2020-03-11,258.0981140136719
2020-03-12,232.66741943359375
2020-03-13,253.85972595214844
2020-03-16,210.00064086914062
2020-03-17,227.89886474609375
2020-03-18,202.553955078125
2020-03-19,205.11087036132812
2020-03-20,192.78366088867188
2020-03-23,181.83755493164062
2020-03-24,205.11087036132812
2020-03-25,218.81912231445312
2020-03-26,238.3223876953125
2020-03-27,226.24713134765625
2020-03-30,234.48704528808594
2020-03-31,232.7140350341797
2020-04-01,221.46002197265625
2020-04-02,224.37147521972656
2020-04-03,214.1533203125
2020-04-06,231.7435302734375
2020-04-07,231.46360778808594
2020-04-08,249.93099975585938
2020-04-09,246.47833251953125
2020-04-13,245.89974975585938
2020-04-14,252.42254638671875
2020-04-15,262.8554382324219
2020-04-16,278.4859619140625
2020-04-17,271.1419677734375
2020-04-20,263.28472900390625
2020-04-21,255.86595153808594
2020-04-22,258.50689697265625
2020-04-23,266.2614440917969
2020-04-24,271.82318115234375
2020-04-27,274.3334045410156
2020-04-28,269.0890808105469
2020-04-29,268.42645263671875
2020-04-30,272.92431640625
2020-05-01,265.49627685546875
2020-05-04,268.32379150390625
2020-05-05,273.4562683105469
2020-05-06,269.4715881347656
2020-05-07,265.9535217285156
2020-05-08,267.8198547363281
2020-05-11,269.39697265625
2020-05-12,268.4730224609375
2020-05-13,259.4213562011719
2020-05-14,271.1886291503906
2020-05-15,271.5152893066406
2020-05-18,273.75482177734375
2020-05-19,269.73291015625
2020-05-20,268.7437744140625
2020-05-21,267.7358703613281
2020-05-22,270.56341552734375
2020-05-26,275.18255615234375
2020-05-27,283.4691162109375
2020-05-28,283.6557922363281
2020-05-29,284.4770202636719
2020-06-01,285.4848327636719
2020-06-02,285.83941650390625
2020-06-03,284.94354248046875
2020-06-04,278.15936279296875
2020-06-05,291.00921630859375
2020-06-08,288.7975769042969
2020-06-09,288.5455627441406
2020-06-10,285.31683349609375
2020-06-11,264.7684326171875
2020-06-12,266.093505859375
2020-06-15,267.14801025390625
2020-06-16,273.41888427734375
2020-06-17,273.0457458496094
2020-06-18,272.0005187988281
2020-06-19,272.94696044921875
2020-06-22,274.28729248046875
2020-06-23,278.9075622558594
2020-06-24,271.01641845703125
2020-06-25,277.6142578125
2020-06-26,268.86090087890625
2020-06-29,271.55999755859375
2020-06-30,276.424072265625
2020-07-01,279.0294189453125
2020-07-02,279.5260925292969
2020-07-06,283.79034423828125
2020-07-07,278.0172119140625
2020-07-08,279.619873046875
2020-07-09,272.8720703125
2020-07-10,272.93768310546875
2020-07-13,280.8850402832031
2020-07-14,289.1416931152344
2020-07-15,284.9711608886719
2020-07-16,287.8576965332031
2020-07-17,287.2767333984375
2020-07-20,284.3995361328125
2020-07-21,285.94586181640625
2020-07-22,287.4454345703125
2020-07-23,283.9403076171875
2020-07-24,281.8971252441406
2020-07-27,279.8447570800781
2020-07-28,281.09124755859375
2020-07-29,287.4172668457031
2020-07-30,286.0583190917969
2020-07-31,283.7622375488281
2020-08-03,284.5401611328125
2020-08-04,285.3742370605469
2020-08-05,292.8435363769531
2020-08-06,294.3336486816406
2020-08-07,297.1171875
2020-08-10,299.0570983886719
2020-08-11,295.7300720214844
2020-08-12,302.028076171875
2020-08-13,301.32513427734375
2020-08-14,303.3683166503906
2020-08-17,300.3785400390625
2020-08-18,296.9109802246094
2020-08-19,295.5895080566406
2020-08-20,293.6495361328125
2020-08-21,294.4086608886719
2020-08-24,289.4416198730469
2020-08-25,292.6092834472656
2020-08-26,289.4228515625
2020-08-27,292.0938415527344
2020-08-28,294.6241760253906
2020-08-31,292.9185485839844
2020-09-01,293.18096923828125
2020-09-02,300.1255187988281
2020-09-03,296.36737060546875
2020-09-04,292.40313720703125
2020-09-08,287.95147705078125
2020-09-09,292.42181396484375
2020-09-10,285.4678955078125
2020-09-11,283.7081298828125
2020-09-14,290.3802185058594
2020-09-15,289.1191711425781
2020-09-16,288.4510803222656
2020-09-17,287.00177001953125
2020-09-18,289.8626403808594
2020-09-21,281.5531311035156
2020-09-22,276.9137878417969
2020-09-23,274.9186706542969
2020-09-24,275.4080810546875
2020-09-25,284.6680603027344
2020-09-28,285.35504150390625
2020-09-29,286.220703125
2020-09-30,293.39154052734375
2020-10-01,294.6148681640625
2020-10-02,293.58917236328125
2020-10-05,299.3954772949219
2020-10-06,295.91357421875
2020-10-07,304.11956787109375
2020-10-08,303.4043884277344
2020-10-09,308.51434326171875
2020-10-12,310.5187072753906
2020-10-13,311.8832702636719
2020-10-14,302.87738037109375
2020-10-15,305.43701171875
2020-10-16,310.45281982421875
2020-10-19,305.1076965332031
2020-10-20,304.3454284667969
2020-10-21,303.7619323730469
2020-10-22,306.5286560058594
2020-10-23,311.1116027832031
2020-10-26,304.0159912109375
2020-10-27,301.6163024902344
2020-10-28,289.84381103515625
2020-10-29,285.7784118652344
2020-10-30,287.1524353027344
2020-11-02,293.70208740234375
2020-11-03,302.4068908691406
2020-11-04,333.6591796875
2020-11-05,333.5085144042969
2020-11-06,326.9776306152344
2020-11-09,329.3678894042969
2020-11-10,332.84039306640625
2020-11-11,330.9676513671875
2020-11-12,333.5179748535156
2020-11-13,334.7037353515625
2020-11-16,335.7859191894531
2020-11-17,331.34417724609375
2020-11-18,324.2015075683594
2020-11-19,317.13427734375
2020-11-20,314.9698791503906
2020-11-23,315.3085632324219
2020-11-24,316.2026062011719
2020-11-25,313.5489196777344
2020-11-27,318.018798828125
2020-11-30,316.51318359375
2020-12-01,321.07733154296875
