Date,price
2020-03-09,2564.610595703125
2020-03-10,2547.944091796875
2020-03-11,2502.357666015625
2020-03-12,2329.324951171875
2020-03-13,2394.028076171875
2020-03-16,2307.2666015625
2020-03-17,2292.5615234375
2020-03-18,2156.782470703125
2020-03-19,2353.34375
2020-03-20,2379.813232421875
2020-03-23,2172.95849609375
2020-03-24,2348.931884765625
2020-03-25,2463.143310546875
2020-03-26,2631.274658203125
2020-03-27,2463.143310546875
2020-03-30,2523.92578125
2020-03-31,2535.689697265625
2020-04-01,2414.6162109375
2020-04-02,2420.0078125
2020-04-03,2409.7138671875
2020-04-06,2503.338134765625
2020-04-07,2518.533935546875
2020-04-08,2472.45654296875
2020-04-09,2581.27587890625
2020-04-14,2572.453125
2020-04-15,2568.531494140625
2020-04-16,2590.099853515625
2020-04-17,2657.744140625
2020-04-20,2646.4697265625
2020-04-21,2529.807861328125
2020-04-22,2605.784912109375
2020-04-23,2633.235595703125
2020-04-24,2602.84423828125
2020-04-27,2671.468994140625
2020-04-28,2709.21240234375
2020-04-29,2712.153564453125
2020-04-30,2695.97802734375
2020-05-01,2711.173828125
2020-05-04,2680.78271484375
2020-05-05,2659.214599609375
2020-05-06,2709.70263671875
2020-05-07,2723.427734375
2020-05-11,2775.38671875
2020-05-12,2827.345703125
2020-05-13,2767.0537109375
2020-05-14,2642.548583984375
2020-05-15,2689.115234375
2020-05-18,2785.6806640625
2020-05-19,2784.699951171875
2020-05-20,2786.6611328125
2020-05-21,2771.46533203125
2020-05-22,2778.327392578125
2020-05-26,2803.817138671875
2020-05-27,2861.16796875
2020-05-28,2895.970458984375
2020-05-29,2735.682373046875
2020-06-01,2794.993408203125
2020-06-02,2763.132568359375
2020-06-03,2837.14892578125
2020-06-04,2825.384765625
2020-06-05,2843.031005859375
2020-06-08,2827.345703125
2020-06-09,2787.15087890625
2020-06-10,2813.620361328125
2020-06-11,2719.506103515625
2020-06-12,2725.388427734375
2020-06-15,2671.468994140625
2020-06-16,2780.2880859375
2020-06-17,2782.739013671875
2020-06-18,2749.897216796875
2020-06-19,2843.031005859375
2020-06-22,2742.544921875
2020-06-23,2744.995849609375
2020-06-24,2649.901123046875
2020-06-25,2632.25439453125
2020-06-26,2646.960205078125
2020-06-29,2647.4501953125
2020-06-30,2628.82373046875
2020-07-01,2644.018798828125
2020-07-02,2687.644775390625
2020-07-03,2637.156982421875
2020-07-06,2703.820556640625
2020-07-07,2676.37060546875
2020-07-08,2694.016845703125
2020-07-09,2648.43017578125
2020-07-10,2707.251953125
2020-07-13,2727.839111328125
2020-07-14,2720.4873046875
2020-07-15,2789.601806640625
2020-07-16,2758.230224609375
2020-07-17,2760.68115234375
2020-07-20,2738.13330078125
2020-07-21,2763.132568359375
2020-07-22,2725.388427734375
2020-07-23,2796.95458984375
2020-07-24,2741.074951171875
2020-07-27,2729.309814453125
2020-07-28,2785.6806640625
2020-07-29,2819.502685546875
2020-07-30,2803.817138671875
2020-07-31,2745.975830078125
2020-08-03,2824.404541015625
2020-08-04,2667.547607421875
2020-08-05,2571.472900390625
2020-08-06,2524.41552734375
2020-08-07,2516.57275390625
2020-08-10,2517.552978515625
2020-08-11,2519.513916015625
2020-08-12,2611.17724609375
2020-08-13,2598.35693359375
2020-08-14,2552.27294921875
2020-08-17,2583.6484375
2020-08-18,2578.746337890625
2020-08-19,2590.5126953125
2020-08-20,2546.3896484375
2020-08-21,2539.526123046875
2020-08-24,2575.314453125
2020-08-25,2549.330810546875
2020-08-26,2498.34423828125
2020-08-27,2491.480712890625
2020-08-28,2460.594482421875
2020-09-01,2392.44921875
2020-09-02,2480.6953125
2020-09-03,2473.831298828125
2020-09-04,2447.847900390625
2020-09-07,2493.93212890625
2020-09-08,2549.8212890625
2020-09-09,2594.4345703125
2020-09-10,2582.668701171875
2020-09-11,2580.70751953125
2020-09-14,2579.726806640625
2020-09-15,2606.2001953125
2020-09-16,2579.236572265625
2020-09-17,2558.15576171875
2020-09-18,2518.445068359375
2020-09-21,2438.04296875
2020-09-22,2449.318359375
2020-09-23,2463.5361328125
2020-09-24,2460.1044921875
2020-09-25,2472.360595703125
2020-09-28,2622.86962890625
2020-09-29,2592.9638671875
2020-09-30,2598.35693359375
2020-10-01,2618.457275390625
2020-10-02,2630.713623046875
2020-10-05,2629.24267578125
2020-10-06,2627.77197265625
2020-10-07,2645.421142578125
2020-10-08,2653.755859375
2020-10-09,2646.4013671875
2020-10-12,2637.577392578125
2020-10-13,2647.872314453125
2020-10-14,2630.223388671875
2020-10-15,2575.8046875
2020-10-16,2602.768798828125
2020-10-19,2575.314453125
2020-10-20,2579.236572265625
2020-10-21,2511.0908203125
2020-10-22,2540.015869140625
2020-10-23,2577.275634765625
2020-10-26,2549.330810546875
2020-10-27,2552.7626953125
2020-10-28,2485.597412109375
2020-10-29,2450.29931640625
2020-10-30,2450.29931640625
2020-11-02,2458.143310546875
2020-11-03,2507.659423828125
2020-11-04,2597.375732421875
2020-11-05,2606.2001953125
2020-11-06,2590.5126953125
2020-11-09,2845.446044921875
2020-11-10,2918.494140625
2020-11-11,2908.688232421875
2020-11-12,2892.509765625
2020-11-13,2847.406494140625
2020-11-16,2978.304931640625
2020-11-17,2937.123291015625
2020-11-18,2918.984130859375
2020-11-19,2921.435546875
2020-11-20,2894.47119140625
2020-11-23,2861.623779296875
2020-11-24,2846.42578125
2020-11-25,2886.627197265625
2020-11-26,2871.428955078125
2020-11-27,2875.84130859375
2020-11-30,2823.8740234375
2020-12-01,2869.4677734375
2020-12-02,2866.526611328125
