Date,price
2020-03-09,254.74945068359375
2020-03-10,272.7950744628906
2020-03-11,262.28466796875
2020-03-12,234.80776977539062
2020-03-13,262.5277099609375
2020-03-16,229.11985778808594
2020-03-17,231.28807067871094
2020-03-18,221.61383056640625
2020-03-19,220.85540771484375
2020-03-20,205.56134033203125
2020-03-23,197.66629028320312
2020-03-24,230.50054931640625
2020-03-25,249.3726806640625
2020-03-26,255.88699340820312
2020-03-27,240.78733825683594
2020-03-30,246.23216247558594
2020-03-31,234.8661346435547
2020-04-01,222.2749481201172
2020-04-02,232.26039123535156
2020-04-03,230.46160888671875
2020-04-06,258.57049560546875
2020-04-07,251.9005584716797
2020-04-08,263.8489990234375
2020-04-09,262.3397216796875
2020-04-13,256.4384460449219
2020-04-14,263.625
2020-04-15,250.40098571777344
2020-04-16,240.29298400878906
2020-04-17,253.1568145751953
2020-04-20,245.13275146484375
2020-04-21,238.91998291015625
2020-04-22,250.17698669433594
2020-04-23,249.154541015625
2020-04-24,251.978515625
2020-04-27,258.1717529296875
2020-04-28,257.6654968261719
2020-04-29,276.255126953125
2020-04-30,267.7636413574219
2020-05-01,261.69696044921875
2020-05-04,262.2033386230469
2020-05-05,266.79962158203125
2020-05-06,265.3000183105469
2020-05-07,271.1719055175781
2020-05-08,275.0379333496094
2020-05-11,273.859619140625
2020-05-12,264.9786682128906
2020-05-13,262.10595703125
2020-05-14,270.0423583984375
2020-05-15,271.6295471191406
2020-05-18,282.3023986816406
2020-05-19,283.1106262207031
2020-05-20,290.9691467285156
2020-05-21,286.5481872558594
2020-05-22,287.1811218261719
2020-05-26,295.3804016113281
2020-05-27,291.9136962890625
2020-05-28,294.3774108886719
2020-05-29,293.00439453125
2020-06-01,293.5010070800781
2020-06-02,295.6336669921875
2020-06-03,299.0224609375
2020-06-04,293.47174072265625
2020-06-05,303.7063903808594
2020-06-08,302.2748718261719
2020-06-09,303.32659912109375
2020-06-10,304.9430236816406
2020-06-11,283.6170349121094
2020-06-12,289.98565673828125
2020-06-15,289.3819274902344
2020-06-16,296.5003356933594
2020-06-17,295.7991943359375
2020-06-18,296.8605041503906
2020-06-19,288.72943115234375
2020-06-22,296.4613952636719
2020-06-23,298.83734130859375
2020-06-24,286.3047180175781
2020-06-25,290.1998291015625
2020-06-26,281.7571716308594
2020-06-29,285.25299072265625
2020-06-30,287.9504699707031
2020-07-01,293.2770080566406
2020-07-02,294.49432373046875
2020-07-06,297.5617370605469
2020-07-07,292.050048828125
2020-07-08,292.6741027832031
2020-07-09,287.2525939941406
2020-07-10,288.3154602050781
2020-07-13,282.95245361328125
2020-07-14,291.5039978027344
2020-07-15,298.10540771484375
2020-07-16,291.8940734863281
2020-07-17,296.48675537109375
2020-07-20,304.19000244140625
2020-07-21,299.9385681152344
2020-07-22,305.5648498535156
2020-07-23,302.1813049316406
2020-07-24,299.2754821777344
2020-07-27,301.16717529296875
2020-07-28,298.70013427734375
2020-07-29,301.59619140625
2020-07-30,301.30377197265625
2020-07-31,300.8454284667969
2020-08-03,304.80426025390625
2020-08-04,306.5594482421875
2020-08-05,319.8304138183594
2020-08-06,321.91717529296875
2020-08-07,319.8499450683594
2020-08-10,314.8379821777344
2020-08-11,320.3569641113281
2020-08-12,319.4697265625
2020-08-13,318.0655517578125
2020-08-14,318.6603698730469
2020-08-17,322.0049133300781
2020-08-18,322.7557678222656
2020-08-19,324.12091064453125
2020-08-20,328.9183654785156
2020-08-21,328.7038269042969
2020-08-24,335.0809631347656
2020-08-25,339.000732421875
2020-08-26,342.2770080566406
2020-08-27,347.133056640625
2020-08-28,357.0009765625
2020-08-31,349.2685546875
2020-09-01,348.0106201171875
2020-09-02,351.7159729003906
2020-09-03,335.27593994140625
2020-09-04,326.6658630371094
2020-09-08,321.6636657714844
2020-09-09,331.18060302734375
2020-09-10,324.5888671875
2020-09-11,321.9269104003906
2020-09-14,330.1664123535156
2020-09-15,330.6929626464844
2020-09-16,333.33551025390625
2020-09-17,330.97576904296875
2020-09-18,326.90966796875
2020-09-21,319.68426513671875
2020-09-22,326.9583740234375
2020-09-23,316.44696044921875
2020-09-24,320.03521728515625
2020-09-25,323.5163269042969
2020-09-28,329.9617004394531
2020-09-29,327.8554992675781
2020-09-30,329.7471923828125
2020-10-01,334.817626953125
2020-10-02,330.39068603515625
2020-10-05,334.70062255859375
2020-10-06,329.0256042480469
2020-10-07,335.33441162109375
2020-10-08,336.9451599121094
2020-10-09,344.0130615234375
2020-10-12,343.67144775390625
2020-10-13,337.6188049316406
2020-10-14,334.5534362792969
2020-10-15,330.5215759277344
2020-10-16,331.3318176269531
2020-10-19,323.7857360839844
2020-10-20,323.83447265625
2020-10-21,325.4940490722656
2020-10-22,325.6697692871094
2020-10-23,321.77459716796875
2020-10-26,310.49920654296875
2020-10-27,309.5717468261719
2020-10-28,284.45343017578125
2020-10-29,286.21063232421875
2020-10-30,281.7784729003906
2020-11-02,283.076904296875
2020-11-03,288.3681335449219
2020-11-04,299.8973388671875
2020-11-05,309.005615234375
2020-11-06,306.18426513671875
2020-11-09,336.3692626953125
2020-11-10,326.8217468261719
2020-11-11,324.488525390625
2020-11-12,320.48602294921875
2020-11-13,327.065673828125
2020-11-16,327.4757385253906
2020-11-17,328.50079345703125
2020-11-18,327.9541931152344
2020-11-19,325.9430847167969
2020-11-20,315.32177734375
2020-11-23,324.1468811035156
2020-11-24,334.2508239746094
2020-11-25,333.206298828125
2020-11-27,331.0097351074219
2020-11-30,328.5106506347656
2020-12-01,330.8243103027344
2020-12-02,332.1324157714844
