Date,price
2020-03-09,21.50419044494629
2020-03-10,22.821945190429688
2020-03-11,21.352277755737305
2020-03-12,18.991952896118164
2020-03-13,20.332279205322266
2020-03-16,16.283533096313477
2020-03-17,17.31916046142578
2020-03-18,14.572538375854492
2020-03-19,16.879905700683594
2020-03-20,16.969955444335938
2020-03-23,17.080312728881836
2020-03-24,18.783309936523438
2020-03-25,19.206192016601562
2020-03-26,21.468029022216797
2020-03-27,20.36624526977539
2020-03-30,21.1978759765625
2020-03-31,20.932146072387695
2020-04-01,19.74295425415039
2020-04-02,20.92860984802246
2020-04-03,20.681415557861328
2020-04-06,22.286415100097656
2020-04-07,22.35969352722168
2020-04-08,23.05095863342285
2020-04-09,22.450632095336914
2020-04-13,22.946786880493164
2020-04-14,23.627456665039062
2020-04-15,22.72783851623535
2020-04-16,22.802881240844727
2020-04-17,23.47295570373535
2020-04-20,22.8019962310791
2020-04-21,21.86353874206543
2020-04-22,22.95119857788086
2020-04-23,22.859376907348633
2020-04-24,23.378496170043945
2020-04-27,23.699846267700195
2020-04-28,23.371427536010742
2020-04-29,24.3681583404541
2020-04-30,23.979707717895508
2020-05-01,22.927358627319336
2020-05-04,23.153371810913086
2020-05-05,23.3837890625
2020-05-06,23.322879791259766
2020-05-07,23.638050079345703
2020-05-08,24.2807559967041
2020-05-11,24.313419342041016
2020-05-12,23.699846267700195
2020-05-13,23.231945037841797
2020-05-14,23.536523818969727
2020-05-15,22.990041732788086
2020-05-18,24.14832878112793
2020-05-19,24.008838653564453
2020-05-20,24.60299301147461
2020-05-21,24.260454177856445
2020-05-22,24.423776626586914
2020-05-26,24.897859573364258
2020-05-27,25.389604568481445
2020-05-28,24.99673843383789
2020-05-29,25.71449089050293
2020-06-01,25.60148811340332
2020-06-02,26.313941955566406
2020-06-03,27.326555252075195
2020-06-04,27.27005386352539
2020-06-05,27.993099212646484
2020-06-08,28.03194808959961
2020-06-09,27.837722778320312
2020-06-10,27.812997817993164
2020-06-11,25.933435440063477
2020-06-12,26.507282257080078
2020-06-15,26.846288681030273
2020-06-16,27.431612014770508
2020-06-17,27.67174530029297
2020-06-18,28.137001037597656
2020-06-19,27.00513458251953
2020-06-22,27.965747833251953
2020-06-23,27.765958786010742
2020-06-24,27.379751205444336
2020-06-25,27.547435760498047
2020-06-26,27.418991088867188
2020-06-29,27.630386352539062
2020-06-30,28.1503849029541
2020-07-01,27.89350128173828
2020-07-02,28.137887954711914
2020-07-06,28.43401527404785
2020-07-07,27.92829132080078
2020-07-08,28.50358772277832
2020-07-09,28.67573356628418
2020-07-10,28.491994857788086
2020-07-13,27.7668514251709
2020-07-14,28.103107452392578
2020-07-15,27.98715591430664
2020-07-16,27.7695255279541
2020-07-17,27.891721725463867
2020-07-20,28.28595542907715
2020-07-21,28.037105560302734
2020-07-22,27.988937377929688
2020-07-23,27.620569229125977
2020-07-24,27.274499893188477
2020-07-27,27.8890438079834
2020-07-28,27.413646697998047
2020-07-29,27.547435760498047
2020-07-30,27.837312698364258
2020-07-31,28.252063751220703
2020-08-03,28.65165138244629
2020-08-04,29.2902774810791
2020-08-05,29.392850875854492
2020-08-06,29.358957290649414
2020-08-07,29.07085609436035
2020-08-10,29.198406219482422
2020-08-11,28.901395797729492
2020-08-12,29.758541107177734
2020-08-13,29.382150650024414
2020-08-14,29.239437103271484
2020-08-17,29.462419509887695
2020-08-18,29.312572479248047
2020-08-19,29.363412857055664
2020-08-20,29.32952308654785
2020-08-21,29.435659408569336
2020-08-24,29.790645599365234
2020-08-25,29.98151969909668
2020-08-26,30.296375274658203
2020-08-27,30.249107360839844
2020-08-28,30.75572395324707
2020-08-31,30.963544845581055
2020-09-01,32.06865692138672
2020-09-02,33.448482513427734
2020-09-03,31.404159545898438
2020-09-04,32.372798919677734
2020-09-08,31.265911102294922
2020-09-09,32.11235427856445
2020-09-10,31.84923553466797
2020-09-11,32.082923889160156
2020-09-14,32.305908203125
2020-09-15,32.726009368896484
2020-09-16,32.737606048583984
2020-09-17,32.63770294189453
2020-09-18,32.085601806640625
2020-09-21,31.663463592529297
2020-09-22,32.5455436706543
2020-09-23,31.64547348022461
2020-09-24,31.72917938232422
2020-09-25,32.11441421508789
2020-09-28,33.05947494506836
2020-09-29,32.785858154296875
2020-09-30,32.79125213623047
2020-10-01,33.17647933959961
2020-10-02,32.11711120605469
2020-10-05,32.95146560668945
2020-10-06,32.76065444946289
2020-10-07,33.009063720703125
2020-10-08,33.60221481323242
2020-10-09,33.90553665161133
2020-10-12,34.42127990722656
2020-10-13,34.336673736572266
2020-10-14,34.22956085205078
2020-10-15,34.19626235961914
2020-10-16,34.081058502197266
2020-10-19,33.82183074951172
2020-10-20,33.931640625
2020-10-21,33.48701477050781
2020-10-22,33.60581970214844
2020-10-23,33.547306060791016
2020-10-26,32.676048278808594
2020-10-27,32.36642837524414
2020-10-28,31.251239776611328
2020-10-29,31.95329475402832
2020-10-30,31.46906280517578
2020-11-02,31.61486053466797
2020-11-03,31.840784072875977
2020-11-04,32.81916046142578
2020-11-05,34.28086471557617
2020-11-06,34.25836181640625
2020-11-09,33.80113220214844
2020-11-10,32.68415069580078
2020-11-11,33.83533477783203
2020-11-12,33.32049560546875
2020-11-13,33.61751937866211
2020-11-16,34.27546691894531
2020-11-17,34.25655746459961
2020-11-18,34.25836181640625
2020-11-19,34.592288970947266
2020-11-20,34.50228500366211
2020-11-23,34.832603454589844
2020-11-24,35.303340911865234
2020-11-25,35.177330017089844
2020-11-27,35.54816436767578
2020-11-30,36.1449089050293
