,AnnReturn,AnnVolatility,Sharpe
GOOGL,26.301074073756688,32.365204414630256,0.689044746575918
BRK-B,21.25654172048467,21.23541477042602,0.812630311535868
ASML.AS,30.255512090747118,38.495812878116126,0.6820355287437688
BESI.AS,42.09141451662205,47.7230729575138,0.7981760636104369
ASM.AS,43.476698733703714,46.613618294281466,0.8468919637278338
HUT,96.65786754542768,122.35996088784906,0.7572564331755115
DAC,79.79782098876616,57.06059581893845,1.3283741591006804
AMR,63.99417673335767,56.175351829108834,1.0679804359012488
FLOW.AS,22.155806125852823,32.255881352246284,0.5628680837328434
HAL.AS,6.992146262145041,20.304079600882634,0.14736675195141422
NVDA,73.00881467903275,54.5606797127452,1.2648085588807743
EXO.AS,8.335312480121871,14.172742966426446,0.3058908561590169
PLTR,65.55696522277434,68.36294724984825,0.9004434082954341
BTC,7.985342722034498,18.8622678210354,0.2112865091221959
ETH,-5.771079016832046,25.610465478815232,-0.3815268029749246
SOL,46.2354334779544,92.81026236304889,0.45507288097883725
MC.PA,20.77371150424972,30.23016956485779,0.5548666033203121
TNDM,-7.03454367019281,61.63294282585756,-0.1790364562239167
AAPL,31.32618331766473,30.914808033940865,0.8839189066826408
TSLA,58.737705993560866,65.20650235842476,0.8394516499701303
MSFT,25.69369328057507,29.902683019757603,0.7254764820347858
AMZN,22.477316648695005,35.7589488416868,0.5167186745476885
META,36.54657914669042,44.68363382844179,0.7283780739867678
JPM,30.389881354122934,31.61519093753857,0.8347215554149533
JNJ,11.629659604639299,19.462283398355122,0.3920228396881801
V,19.12790461676298,27.114926108190307,0.5579179731636245
PG,15.441632491483084,20.612331835335258,0.5550867598526117
UNH,18.881618996638057,29.145044498881305,0.5106054649259248
HD,21.037328223128238,28.444794818421798,0.5989611924391276
MA,20.55103805205546,30.239159778404762,0.5473378947478346
BAC,23.67425789469938,34.87999910644285,0.5640555733576624
XOM,34.65154111256553,33.50706502611448,0.914778453101654
CVX,28.330216653727298,34.8232158929857,0.6986780522653577
LLY,45.97269676820736,32.54196508574065,1.2898021572335565
MRK,13.618672293537367,23.668687645911962,0.40638807007107963
AVGO,54.759459272519216,42.759777088972236,1.1870842817281688
COST,30.754134544176242,23.617576434951413,1.1328060954037211
CRM,20.925519951954357,39.83347970294859,0.42490688933463877
ABBV,30.089154230574678,24.514265978766616,1.0642437449757693
WMT,23.38451062932126,22.57619206065682,0.8586262278970573
KO,14.716071633741532,20.510684018875633,0.5224629087884008
PEP,11.558074145253542,21.97978956290602,0.3438647182504809
ACN,21.745831006195232,28.97157947973644,0.6125254930821834
SAP.DE,27.138085791767253,26.848619774124504,0.861797961549841
SIE.DE,34.78780233343364,31.71972566255382,0.9706200696993937
RMS.PA,34.28315514699124,28.36411631754256,1.0676572754096978
LIN.DE,26.407090914815146,23.13466169397427,0.9685506194651365
AI.PA,19.217249913664983,21.175317393531362,0.7186314911300243
DGE.L,31.696171512090014,69.78732895087494,0.3968653325532211
NOVO-B.CO,30.669377139106253,30.75829903022275,0.8670628084115194
ASML,31.301424956860014,43.423420925131104,0.6287257976273224
ADYEN.AS,28.70277202543236,50.79200809950716,0.4863515531230208
BMW.DE,29.51227534104487,32.663238116182654,0.7810699983356851
SAN.MC,31.145462521151906,37.43490562909882,0.7251377308148269
TEF.MC,20.082779737147007,28.833275874732962,0.557785379886043
OR.PA,14.566837274942054,24.74992350922945,0.4269442396863002
BNP.PA,36.23130655848953,37.182834857449265,0.8668329534866615
CS.PA,31.428055594886946,28.32022842729551,0.9684969761208326
ABI.BR,13.10120432994494,30.99545993872989,0.293630239652378
PHIA.AS,6.3439971776991415,36.39314583990217,0.06440765489223348
UNA.AS,10.07322876797824,16.509776616333642,0.3678565076386195
SU.PA,28.99938724531632,29.737159099952333,0.8406783970616882
BABA,6.892919237385339,50.46164638519208,0.0573290695928277
TCEHY,20.61240717600665,45.57621341029521,0.3644973097360052
JD,20.04271753403585,56.140806805968815,0.28575858536344034
BIDU,11.308579675189465,53.61404266595391,0.13631838435922636
NTES,23.011039863319734,46.28584244043663,0.4107312055038054
XPEV,34.863135530942245,84.28420515136217,0.3661793508702674
LI,34.99564132172141,70.81300000228111,0.4377111733823301
NIO,36.46558863954928,80.05066025263136,0.40556303392241033
PDD,50.86563752953149,74.61591420785668,0.628091715112924
TAL,14.950666045365004,87.21459898747138,0.12556001142581757
CASH,3.9223765423398227,0.01,-7.762345766017739
TBILLS,3.9992821344264406,0.1,-0.0071786557355943414
